,Address,Price,Size,Max_occupancy
2816,609 Greenwich Street - 9th Floor,To ask,"16,457",109
2817,218 West 18th Street - 3rd Floor,To ask,"13,420",89
2818,460 Park Avenue South - Office Space,To ask,"15,500",103
2819,135 Madison Avenue - 2nd Floor,To ask,"15,038",100
2820,620 Avenue of the Americas - 3rd Floor - Suite 1,To ask,"13,852",92
2821,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,882",92
2822,200 Park Avenue South - 58th Floor,To ask,"13,764",91
2823,60 Madison Avenue - 8th Floor,To ask,"17,177",114
2824,475 Park Avenue South - 7th Floor,To ask,"16,947",112
2825,475 Park Avenue South - 16th Floor,To ask,"13,607",90
2826,1245 Broadway Street - 2nd Floor,To ask,"14,703",98
2827,635 Avenue of the Americas - 8th Floor,To ask,"13,090",87
2828,330 Hudson Street - 15th Floor,To ask,"17,175",114
2829,381 Park Avenue South - 9th Floor,To ask,"13,128",87
2830,233 Spring Street - 8th Floor,To ask,"13,000",86
2831,71 5th Avenue - 4th Floor,To ask,"15,211",101
2832,40 East 33rd Street - Building Suite,To ask,"14,073",93
2833,15 Little West 12 Street - 3rd Floor,To ask,"17,585",117
2834,15 Little West 12 Street - 2nd Floor,To ask,"16,965",113
2835,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,884",92
2836,355 Park Avenue South - 3rd Floor,To ask,"16,598",110
2837,841 Broadway - 7th Floor,To ask,"13,789",91
2838,381 Park Avenue South - 16th Floor - B Suite,To ask,"13,067",87
2839,233 Park Avenue South - 12th Floor,To ask,"13,343",88
2840,609 Greenwich Street - 9th Floor,To ask,"16,457",109
2841,218 West 18th Street - 3rd Floor,To ask,"13,420",89
2842,460 Park Avenue South - Office Space,To ask,"15,500",103
2843,135 Madison Avenue - 2nd Floor,To ask,"15,038",100
